Industry;Process;Fuel;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source_1;Description;Comment
Shipping;Fuel;Biodiesel;Any;2020;LCOF;USD/GJ;;;25;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;Reuters Graphics, Global Marine Fuel Prices ;
Shipping;Fuel;Biodiesel;Any;2025;LCOF;USD/GJ;;;2481;;;
Shipping;Fuel;Biodiesel;Any;2030;LCOF;USD/GJ;;;2454;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;Biodiesel;Any;2035;LCOF;USD/GJ;;;2444;;;
Shipping;Fuel;Biodiesel;Any;2040;LCOF;USD/GJ;;;2426;;;
Shipping;Fuel;Biodiesel;Any;2045;LCOF;USD/GJ;;;2407;;;Assumption no changes in prices between 2045 and 2050
Shipping;Fuel;Biodiesel;Any;2050;LCOF;USD/toe;;;24;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;;
Shipping;Fuel;Biodiesel;Any;2050;LCOF;USD/toe;;;1000;Statista: Projected low and high prices for marine fuels in 2050, https://www.statista.com/statistics/1367303/forecasted-low-and-high-prices-for-marine-fuels/;;
Shipping;Fuel;BtL;Any;2020;LCOF;USD/GJ;;;30;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;;
Shipping;Fuel;BtL;Any;2025;LCOF;USD/GJ;;;3066666667;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;;
Shipping;Fuel;BtL;Any;2035;LCOF;USD/GJ;;;3266666667;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;BtL;Any;2040;LCOF;USD/GJ;;;3533333333;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;BtL;Any;2045;LCOF;USD/GJ;;;3866666667;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;BtL;Any;2050;LCOF;USD/GJ;;;34;Statista: Projected low and high prices for marine fuels in 2050, https://www.statista.com/statistics/1367303/forecasted-low-and-high-prices-for-marine-fuels/;;
Shipping;Fuel;BtL;US;2050;LCOF;USD/GJ;;;34;Statista: Projected low and high prices for marine fuels in 2050, https://www.statista.com/statistics/1367303/forecasted-low-and-high-prices-for-marine-fuels/;;
Shipping;Fuel;HVO;Any;2020;LCOF;USD/GJ;;;29;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;HVO;US;2020;LCOF;USD/GJ;;;29;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;LNG;Any;2020;LCOF;USD/GJ;;;55;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;LNG;Any;2025;LCOF;USD/GJ;;;6375;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;LNG;Any;2030;LCOF;USD/GJ;;;725;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;LNG;Any;2035;LCOF;USD/GJ;;;8125;Based on;;
Shipping;Fuel;LNG;Any;2040;LCOF;USD/GJ;;;9;https://www.sciencedirect.com/science/article/pii/S1361920922003261#s0095;;
Shipping;Fuel;LNG;Any;2045;LCOF;USD/GJ;;;9875;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;;
Shipping;Fuel;LNG;Any;2050;LCOF;USD/GJ;;;1075;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;MGO;Any;2020;LCOF;USD/GJ;;;8;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;MGO;Any;2025;LCOF;USD/GJ;;;875;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;MGO;Any;2030;LCOF;USD/GJ;;;1025;Linear intrapoliert based on IEA & Statistia Data;;
Shipping;Fuel;MGO;Any;2035;LCOF;USD/GJ;;;125;Statista: Projected low and high prices for marine fuels in 2050, https://www.statista.com/statistics/1367303/forecasted-low-and-high-prices-for-marine-fuels/;;
Shipping;Fuel;MGO;Any;2040;LCOF;USD/GJ;;;11;https://www.iea.org/data-and-statistics/charts/indicative-shipping-fuel-cost-ranges;;
Shipping;Fuel;MGO;Any;2045;LCOF;USD/GJ;;;1175;https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf;;
Shipping;Fuel;MGO;Any;2050;LCOF;USD/GJ;;;1475;https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf;;
Shipping;ICE;Biodiesel;Any;2030;Input Stichiometry;kWh / 100 naut. Mile ;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;Biodiesel;Any;2035;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;Biodiesel;Any;2040;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;726;Martime Europe (Kassandra) ;72562;;;
Shipping;ICE;Biodiesel;Any;2045;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;726;Martime Europe (Kassandra) ;68934;;;
Shipping;ICE;Biodiesel;Any;2050;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;726;Martime Europe (Kassandra) ;65306;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;H2;Any;2030;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;1315;Martime Europe (Kassandra) ;118628;;;
Shipping;ICE;H2;Any;2035;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;1315;Martime Europe (Kassandra) ;118751;;;
Shipping;ICE;H2;Any;2040;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;1315;Martime Europe (Kassandra) ;118875;;;
Shipping;ICE;H2;Any;2045;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;1315;Martime Europe (Kassandra) ;112932;;;
Shipping;ICE;H2;Any;2050;Input Stichiometry;kWh 100 naut. Mile H2/kWh 100 naut. Mile MGO;1315;Martime Europe (Kassandra) ;106988;;;
Shipping;ICE;MeOH;Any;2030;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;73616;;;
Shipping;ICE;MeOH;Any;2035;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;72114;;;
Shipping;ICE;MeOH;Any;2040;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;70612;;;
Shipping;ICE;MeOH;Any;2045;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;67081;;;
Shipping;ICE;MeOH;Any;2050;Input Stichiometry;kWh 100 naut. Mile MeOH/kWh 100 naut. Mile MGO;736164;Martime Europe (Kassandra) ;6355;;;
Shipping;ICE;NH3;Any;2030;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;121943;;;
Shipping;ICE;NH3;Any;2035;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;110809;;;
Shipping;ICE;NH3;Any;2040;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;99675;;;
Shipping;ICE;NH3;Any;2045;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;94691;;;
Shipping;ICE;NH3;Any;2050;Input Stichiometry;kWh 100 naut. Mile NH3/kWh 100 naut. Mile MGO;1060;Martime Europe (Kassandra) ;89708;;;
