,Duisburg,Ludwigshafen,Leverkusen,Hamburg,Chanaral,Huelva,Laayoune,Rotterdam,Antofagasta,Agadir
Duisburg,0.0,286.2599934913455,54.67341571588562,370.58369712920006,0.0,2197.107629304656,0.0,191.99032995264122,0.0,0.0
Ludwigshafen,286.2599934913455,0.0,232.52203940217788,540.5248174593977,0.0,2111.2465848957004,0.0,449.4386305889957,0.0,0.0
Leverkusen,54.67341571588562,232.52203940217788,0.0,400.46887319527013,0.0,2169.853000397301,0.0,230.74134190245275,0.0,0.0
Hamburg,370.58369712920006,540.5248174593977,400.46887319527013,0.0,0.0,2567.65733402105,0.0,473.7676198856215,0.0,0.0
Chanaral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.5000165413304,0.0
Huelva,2197.107629304656,2111.2465848957004,2169.853000397301,2567.65733402105,0.0,0.0,0.0,2139.289280703043,0.0,0.0
Laayoune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.195162367965278
Rotterdam,191.99032995264122,449.4386305889957,230.74134190245275,473.7676198856215,0.0,2139.289280703043,0.0,0.0,0.0,0.0
Antofagasta,0.0,0.0,0.0,0.0,392.5000165413304,0.0,0.0,0.0,0.0,0.0
Agadir,0.0,0.0,0.0,0.0,0.0,0.0,26.195162367965278,0.0,0.0,0.0
