,Duisburg,Ludwigshafen,Leverkusen,Hamburg,Chanaral,Huelva,Laayoune,Rotterdam,Antofagasta,Agadir
Duisburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludwigshafen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leverkusen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.602,13646.057,3088.118
Chanaral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huelva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laayoune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,0.0,0.0,0.0,584.602,0.0,0.0,0.0,0.0,13186.716,2628.776
Antofagasta,0.0,0.0,0.0,13646.057,0.0,0.0,0.0,13186.716,0.0,0.0
Agadir,0.0,0.0,0.0,3088.118,0.0,0.0,0.0,2628.776,0.0,0.0
