Industry;Item;Process ;Status;Year;Parameter;Unit;Value;;;;;
Shipping;ICE;Biodiesel;;2030;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;Biodiesel;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;Biodiesel;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;Biodiesel;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;Biodiesel;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;H2;;2030;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;H2;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;H2;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;H2;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;H2;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MeOH;;2030;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MeOH;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MeOH;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MeOH;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MeOH;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;NH3;;2030;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;NH3;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;NH3;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;NH3;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;NH3;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MGO;;2030;Output Ratio;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MGO;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MGO;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MGO;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;MGO;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;#NV;;;;;
Shipping;ICE;LNG;;2030;Output Stichiometry;MWh/ 100 Naut. Mile;2,21802935;;;;;
Shipping;ICE;LNG;;2035;Output Stichiometry;MWh/ 100 Naut. Mile;2,193920335;;;;;
Shipping;ICE;LNG;;2040;Output Stichiometry;MWh/ 100 Naut. Mile;2,169811321;;;;;
Shipping;ICE;LNG;;2045;Output Stichiometry;MWh/ 100 Naut. Mile;2,061320755;;;;;
Shipping;ICE;LNG;;2050;Output Stichiometry;MWh/ 100 Naut. Mile;1,952830189;;;;;
