process,year,Value
AmCr,2020,386
AmCr,2030,386
AmCr,2035,338
AmCr,2040,289
AmCr,2045,216
AmCr,2050,144
Asu,2030,3
Asu,2035,3
Asu,2040,3
Asu,2045,2
Asu,2050,2
Btm,2030,7
Btm,2035,7
Btm,2040,6
Btm,2045,7
Btm,2050,7
Dac,2030,40
Dac,2035,38
Dac,2040,35
Dac,2045,29
Dac,2050,23
Dri,2020,57
Dri,2030,57
Dri,2035,57
Dri,2040,57
Dri,2045,57
Dri,2050,57
El,2030,48
El,2035,42
El,2040,36
El,2045,30
El,2050,24
Bof,2020,0
Bof,2030,0
Bof,2035,0
Bof,2040,0
Bof,2045,0
Bof,2050,0
H2Eva,2020,109
H2Eva,2030,109
H2Eva,2035,93
H2Eva,2040,76
H2Eva,2045,60
H2Eva,2050,43
H2Liq,2020,662
H2Liq,2030,662
H2Liq,2035,596
H2Liq,2040,530
H2Liq,2045,464
H2Liq,2050,397
H2gP,2020,0
H2gP,2030,0
H2gP,2035,0
H2gP,2040,0
H2gP,2045,0
H2gP,2050,0
H2gPR,2020,0
H2gPR,2030,0
H2gPR,2035,0
H2gPR,2040,0
H2gPR,2045,0
H2gPR,2050,0
Hb,2030,28
Hb,2035,26
Hb,2040,23
Hb,2045,21
Hb,2050,18
LH2S,2020,1432
LH2S,2030,1432
LH2S,2035,1432
LH2S,2040,1432
LH2S,2045,1432
LH2S,2050,1432
LNH3S,2020,61
LNH3S,2030,61
LNH3S,2035,61
LNH3S,2040,61
LNH3S,2045,61
LNH3S,2050,61
MeOHT,2020,23
MeOHT,2030,23
MeOHT,2035,23
MeOHT,2040,23
MeOHT,2045,23
MeOHT,2050,23
Mto/Mta,2020,9
Mto/Mta,2030,9
Mto/Mta,2035,9
Mto/Mta,2040,9
Mto/Mta,2045,9
Mto/Mta,2050,9
Nto/Nta,2020,36
Nto/Nta,2030,36
Nto/Nta,2035,36
Nto/Nta,2040,36
Nto/Nta,2045,36
Nto/Nta,2050,36
Offwind,2020,50
Offwind,2030,39
Offwind,2035,36
Offwind,2040,34
Offwind,2045,33
Offwind,2050,33
Onwind,2020,15
Onwind,2030,13
Onwind,2035,13
Onwind,2040,12
Onwind,2045,12
Onwind,2050,12
Pv,2020,11
Pv,2030,9
Pv,2035,9
Pv,2040,8
Pv,2045,8
Pv,2050,7
Smr,2020,7
Smr,2030,7
Smr,2035,7
Smr,2040,7
Smr,2045,7
Smr,2050,7
SmrCCTS,2020,13
SmrCCTS,2030,13
SmrCCTS,2035,13
SmrCCTS,2040,13
SmrCCTS,2045,13
SmrCCTS,2050,13
Esc,2030,334
Esc,2035,334
Esc,2040,334
Esc,2045,334
Esc,2050,334
