Mode,Fuel,Year,Value
shipping,LH2,2020,35794
shipping,LH2,2030,35794
shipping,LH2,2035,35794
shipping,LH2,2040,35794
shipping,LH2,2045,35794
shipping,LH2,2050,35794
shipping,NH3,2030,1531
shipping,NH3,2035,1531
shipping,NH3,2040,1531
shipping,NH3,2045,1531
shipping,NH3,2050,1531
shipping,MeOH,2030,467
shipping,MeOH,2035,467
shipping,MeOH,2040,467
shipping,MeOH,2045,467
shipping,MeOH,2050,467
pipeline,H2,2030,9.110899436
pipeline,H2,2035,9.110899436
pipeline,H2,2040,9.110899436
pipeline,H2,2045,9.110899436
pipeline,H2,2050,9.110899436
pipeline,NH3,2030,16.35849057
pipeline,NH3,2035,16.35849057
pipeline,NH3,2040,12.41509434
pipeline,NH3,2045,12.41509434
pipeline,NH3,2050,10.79245283
pipeline,MeOH,2030,11.82489114
pipeline,MeOH,2035,11.82489114
pipeline,MeOH,2040,8.974369515
pipeline,MeOH,2045,6.810997855
pipeline,MeOH,2050,4.493530304
submarine,H2,2030,456
submarine,H2,2035,456
submarine,H2,2040,456
submarine,H2,2045,456
submarine,H2,2050,456
submarine,NH3,2030,819
submarine,NH3,2035,819
submarine,NH3,2040,621
submarine,NH3,2045,621
submarine,NH3,2050,540
submarine,MeOH,2030,592
submarine,MeOH,2035,592
submarine,MeOH,2040,449
submarine,MeOH,2045,341
submarine,MeOH,2050,225
pipeline,LCH2,2030,9.110899436
pipeline,LCH2,2035,9.110899436
pipeline,LCH2,2040,9.110899436
pipeline,LCH2,2045,9.110899436
pipeline,LCH2,2050,9.110899436
pipeline,LCNH3,2030,16.35849057
pipeline,LCNH3,2035,16.35849057
pipeline,LCNH3,2040,12.41509434
pipeline,LCNH3,2045,12.41509434
pipeline,LCNH3,2050,10.79245283
pipeline,LCMeOH,2030,11.82489114
pipeline,LCMeOH,2035,11.82489114
pipeline,LCMeOH,2040,8.974369515
pipeline,LCMeOH,2045,6.810997855
pipeline,LCMeOH,2050,4.493530304
submarine,LCH2,2030,456
submarine,LCH2,2035,456
submarine,LCH2,2040,456
submarine,LCH2,2045,456
submarine,LCH2,2050,456
submarine,LCNH3,2030,818.741525
submarine,LCNH3,2035,818.741525
submarine,LCNH3,2040,621.3747675
submarine,LCNH3,2045,621.3747675
submarine,LCNH3,2050,540.161652
submarine,LCMeOH,2030,591.8351308
submarine,LCMeOH,2035,591.8351308
submarine,LCMeOH,2040,449.1666852
submarine,LCMeOH,2045,340.8900563
submarine,LCMeOH,2050,224.9009368
