Mode,Fuel,Year,Value
pipeline,H2,2030,0.29
pipeline,H2,2035,0.25
pipeline,H2,2040,0.21
pipeline,H2,2045,0.17
pipeline,H2,2050,0.14
pipeline,NH3,2030,0.52
pipeline,NH3,2035,0.45
pipeline,NH3,2040,0.29
pipeline,NH3,2045,0.24
pipeline,NH3,2050,0.16
pipeline,MeOH,2030,0.37
pipeline,MeOH,2035,0.33
pipeline,MeOH,2040,0.21
pipeline,MeOH,2045,0.13
pipeline,MeOH,2050,0.07
shipping,LH2,2020,1432
shipping,LH2,2030,1432
shipping,LH2,2035,1432
shipping,LH2,2040,1432
shipping,LH2,2045,1432
shipping,LH2,2050,1432
shipping,NH3,2020,61
shipping,NH3,2030,61
shipping,NH3,2035,61
shipping,NH3,2040,61
shipping,NH3,2045,61
shipping,NH3,2050,61
shipping,MeOh,2030,23
shipping,MeOh,2035,23
shipping,MeOh,2040,23
shipping,MeOh,2045,23
shipping,MeOh,2050,23
submarine,H2,2030,14
submarine,H2,2035,14
submarine,H2,2040,14
submarine,H2,2045,14
submarine,H2,2050,14
submarine,NH3,2030,25
submarine,NH3,2035,25
submarine,NH3,2040,19
submarine,NH3,2045,19
submarine,NH3,2050,16
submarine,MeOH,2030,18
submarine,MeOH,2035,18
submarine,MeOH,2040,13
submarine,MeOH,2045,10
submarine,MeOH,2050,7
pipeline,LCH2,2030,0.29
pipeline,LCH2,2035,0.25
pipeline,LCH2,2040,0.21
pipeline,LCH2,2045,0.17
pipeline,LCH2,2050,0.14
pipeline,LCNH3,2030,0.52
pipeline,LCNH3,2035,0.45
pipeline,LCNH3,2040,0.29
pipeline,LCNH3,2045,0.24
pipeline,LCNH3,2050,0.16
pipeline,LCMeOH,2030,0.37
pipeline,LCMeOH,2035,0.33
pipeline,LCMeOH,2040,0.21
pipeline,LCMeOH,2045,0.13
pipeline,LCMeOH,2050,0.07
submarine,LCH2,2030,14
submarine,LCH2,2035,14
submarine,LCH2,2040,14
submarine,LCH2,2045,14
submarine,LCH2,2050,14
submarine,LCNH3,2030,25
submarine,LCNH3,2035,25
submarine,LCNH3,2040,19
submarine,LCNH3,2045,19
submarine,LCNH3,2050,16
submarine,LCMeOH,2030,18
submarine,LCMeOH,2035,18
submarine,LCMeOH,2040,13
submarine,LCMeOH,2045,10
submarine,LCMeOH,2050,7
