process,year,Value
Asu,2030,102.58
Asu,2035,93.24
Asu,2040,83.90
Asu,2045,74.11
Asu,2050,64.33
Btm,2030, 492 
Btm,2035, 425 
Btm,2040, 357 
Btm,2045, 302 
Btm,2050, 246 
Dac,2030,818
Dac,2035,759
Dac,2040,701
Dac,2045,584
Dac,2050,467
El,2030,1190
El,2035,1041
El,2040,893
El,2045,744
El,2050,595
Ft,2030, 734 
Ft,2035,631
Ft,2040,549
Ft,2045,507
Ft,2050,466
Hb,2030, 949 
Hb,2035, 863 
Hb,2040, 776 
Hb,2045, 686 
Hb,2050, 595 
MeOHSyn,2030,500
MeOHSyn,2035,375
MeOHSyn,2040,250
MeOHSyn,2045,275
MeOHSyn,2050,300
Mto/Mta,2020, 300 
Mto/Mta,2030, 300 
Mto/Mta,2035, 300 
Mto/Mta,2040, 300 
Mto/Mta,2045, 300 
Mto/Mta,2050, 300 
Smr,2020,135.14
Smr,2030,135.14
Smr,2035,135.14
Smr,2040,135.14
Smr,2045,135.14
Smr,2050,135.14
SmrCCTS,2020,252.50
SmrCCTS,2030,252.50
SmrCCTS,2035,252.50
SmrCCTS,2040,252.50
SmrCCTS,2045,252.50
SmrCCTS,2050,252.50
Dri,2020,
Dri,2030,
Dri,2035,
Dri,2040,
Dri,2045,
Dri,2050,
Conventional ICE,2025,11925
Conventional ICE,2030,11925
Conventional ICE,2035,11925
Conventional ICE,2040,11925
Conventional ICE,2045,11925
Conventional ICE,2050,11925
MeOH ICE,2025,52467
MeOH ICE,2030,44760
MeOH ICE,2035,37053
MeOH ICE,2040,29347
MeOH ICE,2045,21640
MeOH ICE,2050,13933
NH3  ICE,2025,57233
NH3  ICE,2030,44760
NH3  ICE,2035,37053
NH3  ICE,2040,29347
NH3  ICE,2045,21640
NH3  ICE,2050,13933
Offwind,2020,1992
Offwind,2030,1682
Offwind,2035,1622
Offwind,2040,1562
Offwind,2045,1543
Offwind,2050,1523
Onwind,2020,1183
Onwind,2030,1095
Onwind,2035,1065
Onwind,2040,1034
Onwind,2045,1026
Onwind,2050,1019
Pv,2020,562
Pv,2030,383
Pv,2035,352
Pv,2040,320
Pv,2045,306
Pv,2050,292
H2Eva,2020,4370
H2Eva,2030,4370
H2Eva,2035,3708
H2Eva,2040,3046
H2Eva,2045,2384
H2Eva,2050,1722
H2Liq,2020,26486
H2Liq,2030,26486
H2Liq,2035,23838
H2Liq,2040,21189
H2Liq,2045,18540
H2Liq,2050,15892
H2gP,2020,9
H2gP,2030,9
H2gP,2035,9
H2gP,2040,9
H2gP,2045,9
H2gP,2050,4
H2gPR,2020,4
H2gPR,2030,4
H2gPR,2035,4
H2gPR,2040,4
H2gPR,2045,4
H2gPR,2050,4
LH2S,2020,35794
LH2S,2030,35794
LH2S,2035,35794
LH2S,2040,35794
LH2S,2045,35794
LH2S,2050,35794
LNH3S,2020,1531
LNH3S,2030,1531
LNH3S,2035,1531
LNH3S,2040,1531
LNH3S,2045,1531
LNH3S,2050,1531
MeOHT,2020,467
MeOHT,2030,467
MeOHT,2040,467
MeOHT,2050,467
AmCr,2020,8982
AmCr,2030,8982
AmCr,2035,7852
AmCr,2040,6722
AmCr,2045,5030
AmCr,2050,3339
Dri,2020,79
Dri,2030,79
Dri,2035,79
Dri,2040,79
Dri,2045,79
Dri,2050,79
Bof,2020,16
Bof,2030,16
Bof,2035,16
Bof,2040,16
Bof,2045,16
Bof,2050,16
Conventional ICE,2025,11925
Conventional ICE,2030,11925
Conventional ICE,2035,11925
Conventional ICE,2040,11925
Conventional ICE,2045,11925
Conventional ICE,2050,11925
MeOH ICE,2025,52467
MeOH ICE,2030,44760
MeOH ICE,2035,37053
MeOH ICE,2040,29347
MeOH ICE,2045,21640
MeOH ICE,2050,13933
NH3  ICE,2025,57233
NH3  ICE,2030,44760
NH3  ICE,2035,37053
NH3  ICE,2040,29347
NH3  ICE,2045,21640
NH3  ICE,2050,13933
H2 ICE,2030,29813
H2 ICE,2035,25433
H2 ICE,2040,21054
H2 ICE,2045,16675
H2 ICE,2050,12296
Esc,2030,22248
Esc,2035,22248
Esc,2040,22248
Esc,2045,22248
Esc,2050,22248
