Process,Input,Output,Year,Value,
Conventional ICE,MGO,Conventional ICE,2030,0.27,
Conventional ICE,MGO,Conventional ICE,2035,0.27,
Conventional ICE,MGO,Conventional ICE,2040,0.27,
Conventional ICE,MGO,Conventional ICE,2045,0.27,
Conventional ICE,MGO,Conventional ICE,2050,0.27,
LNG ICE,LNG,Conventional ICE,2030,0.61,
LNG ICE,LNG,Conventional ICE,2035,0.61,
LNG ICE,LNG,Conventional ICE,2040,0.61,
LNG ICE,LNG,Conventional ICE,2045,0.61,
LNG ICE,LNG,Conventional ICE,2050,0.61,
Bof,Coal,Steel,2030,1.71,
Bof,Coal,Steel,2035,1.71,
Bof,Coal,Steel,2040,1.71,
Bof,Coal,Steel,2045,1.71,
Bof,Coal,Steel,2050,1.71,
Bof,Gas,Steel,2030,1.71,
Bof,Gas,Steel,2035,1.71,
Bof,Gas,Steel,2040,1.71,
Bof,Gas,Steel,2045,1.71,
Bof,Gas,Steel,2050,1.71,
Smr,Gas,HCH2,2030,2.1,
Smr,Gas,HCH2,2035,2.1,
Smr,Gas,HCH2,2040,2.1,
Smr,Gas,HCH2,2045,2.1,
Smr,Gas,HCH2,2050,2.1,
Smr,Smr-Hb,Fertillizer,2030,2.1,
Smr,Smr-Hb,Fertillizer,2035,2.1,
Smr,Smr-Hb,Fertillizer,2040,2.1,
Smr,Smr-Hb,Fertillizer,2045,2.1,
Smr,Smr-Hb,Fertillizer,2050,2.1,
Nto/Nta,Naphtha,Aromatics/Olefins,2030,0.85,
Nto/Nta,Naphtha,Aromatics/Olefins,2035,0.85,
Nto/Nta,Naphtha,Aromatics/Olefins,2040,0.85,
Nto/Nta,Naphtha,Aromatics/Olefins,2045,0.85,
Nto/Nta,Naphtha,Aromatics/Olefins,2050,0.85,
SmrCCTS,Gas,LCH2,2030,0.42,
SmrCCTS,Gas,LCH2,2035,0.32,
SmrCCTS,Gas,LCH2,2040,0.22,
SmrCCTS,Gas,LCH2,2045,0.11,
SmrCCTS,Gas,LCH2,2050,0,
Esc,Naphtha,Aromatics/Olefins,2030,0.55,
Esc,Naphtha,Aromatics/Olefins,2035,0.55,
Esc,Naphtha,Aromatics/Olefins,2040,0.42,
Esc,Naphtha,Aromatics/Olefins,2045,0.22,
Esc,Naphtha,Aromatics/Olefins,2050,0.00,
JetEngine,JetA,Aviation,2030,3.16,
JetEngine,JetA,Aviation,2035,3.16,
JetEngine,JetA,Aviation,2040,3.16,
JetEngine,JetA,Aviation,2045,3.16,
JetEngine,JetA,Aviation,2050,3.16,
