Industry,Process,Year,Value
Steel,Dri,2030,1884
Steel,Dri,2035,1733
Steel,Dri,2040,1582
Steel,Dri,2045,1431
Steel,Dri,2050,1280
Steel,Bof,2030,500
Steel,Bof,2035,500
Steel,Bof,2040,500
Steel,Bof,2045,500
Steel,Bof,2050,500
Fertilizer,Smr-Hb,2030,10000
Fertilizer,Smr-Hb,2035,10000
Fertilizer,Smr-Hb,2040,10000
Fertilizer,Smr-Hb,2045,10000
Fertilizer,Smr-Hb,2050,10000
Fertilizer,El-Hb,2030,20000
Fertilizer,El-Hb,2035,20000
Fertilizer,El-Hb,2040,20000
Fertilizer,El-Hb,2045,20000
Fertilizer,El-Hb,2050,20000
HVC,Nto/Nta,2030,1200
HVC,Nto/Nta,2035,1200
HVC,Nto/Nta,2040,1200
HVC,Nto/Nta,2045,1200
HVC,Nto/Nta,2050,1200
HVC,Btm,2030,1800
HVC,Btm,2035,1700
HVC,Btm,2040,1600
HVC,Btm,2045,1500
HVC,Btm,2050,1400
