Industry;Item;Process ;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source;Description;Comment
Shipping;ICE;LNG;;2030;Opex;€/MWh;;;210;;;Assumption: Using same engine as MGO ICE
Shipping;ICE;Biodiesel;;2030;System efficiency;%;;;46;;;
Shipping;ICE;Biodiesel;;2040;System efficiency;%;;;47;;;
Shipping;ICE;H2;;2030;System efficiency;%;;;51;;;
Shipping;ICE;H2;;2040;System efficiency;%;;;52;;;
Shipping;ICE;LNG;;2030;System efficiency;%;;;45;;;
Shipping;ICE;LNG;;2040;System efficiency;%;;;47;;;
Shipping;ICE;MeOH;;2030;System efficiency;%;;;46;;;
Shipping;ICE;MeOH;;2040;System efficiency;%;;;49;Techno-economic analysis of a decarbonized shipping sector: Technology suggestions for a fleet in 2030 and 2040 - ScienceDirect;;
Shipping;ICE;MGO;;2030;System efficiency;%;;;46;;;
Shipping;ICE;MGO;;2040;System efficiency;%;;;47;https://vb.nweurope.eu/media/14694/210225_h2ships_t232_compassesmtaltfuels-02.pdf;;System-Based Solutions for H2-Fuelled WaterTransport in North-West Europe
Shipping;ICE;NH3;;2030;System efficiency;%;;;40;;;
Shipping;ICE;NH3;;2040;System efficiency;%;;;50;;;
Shipping;ICE;NH3;;2050;System efficiency;%;;;60;;;
Shipping;ICE;Biodiesel;;2030;Input Stichiometry;kWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;Calculated based on energy density (Maritime Europe) and System Efficiency (ScienceDirect);;
Shipping;ICE;Biodiesel;;2035;Input Stichiometry;kWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;Biodiesel;;2040;Input Stichiometry;kWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;Biodiesel;;2045;Input Stichiometry;kWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;Biodiesel;;2050;Input Stichiometry;kWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;H2;;2030;Input Stichiometry;kWh/ 100 Naut. Mile;1315;Martime Europe (Kassandra) ;;;;
Shipping;ICE;H2;;2035;Input Stichiometry;kWh/ 100 Naut. Mile;1315;Martime Europe (Kassandra) ;;;;
Shipping;ICE;H2;;2040;Input Stichiometry;kWh/ 100 Naut. Mile;1315;Martime Europe (Kassandra) ;;;;
Shipping;ICE;H2;;2045;Input Stichiometry;kWh/ 100 Naut. Mile;1315;Martime Europe (Kassandra) ;;;;
Shipping;ICE;H2;;2050;Input Stichiometry;kWh/ 100 Naut. Mile;1315;Martime Europe (Kassandra) ;;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;MeOH;;2030;Input Stichiometry;MWh/ 100 Naut. Mile;736,164;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MeOH;;2035;Input Stichiometry;MWh/ 100 Naut. Mile;736,164;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MeOH;;2040;Input Stichiometry;MWh/ 100 Naut. Mile;736,164;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MeOH;;2045;Input Stichiometry;MWh/ 100 Naut. Mile;736,164;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MeOH;;2050;Input Stichiometry;MWh/ 100 Naut. Mile;736,1640;Martime Europe (Kassandra) ;;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;NH3;;2030;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;;;;
Shipping;ICE;NH3;;2035;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;;;;
Shipping;ICE;NH3;;2040;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;;;;
Shipping;ICE;NH3;;2045;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;;;;
Shipping;ICE;NH3;;2050;Input Stichiometry;MWh/ 100 Naut. Mile;1060;Martime Europe (Kassandra) ;;;;Assumption: 10% efficiency increase between 2040 and 2050
Shipping;ICE;MGO;;2030;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MGO;;2035;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MGO;;2040;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MGO;;2045;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;MGO;;2050;Input Stichiometry;MWh/ 100 Naut. Mile;726;Martime Europe (Kassandra) ;;;;
Shipping;ICE;LNG;;2030;Input Stichiometry;MWh/ 100 Naut. Mile;;;1609,45;Calclculated based on relative energy density of LNG to MGO, input stichiometry of MGO in KWh per naut. Mile;;
