Industry;Process;Input;Unit;Year;Value
Steel;Bof;Coal;;2030;0,5
Steel;Bof;Coal;;2035;0,5
Steel;Bof;Coal;;2040;0,5
Steel;Bof;Coal;;2045;0,5
Steel;Bof;Coal;;2050;0,5
Steel;Bof;Gas;;2030;0,2
Steel;Bof;Gas;;2035;0,2
Steel;Bof;Gas;;2040;0,2
Steel;Bof;Gas;;2045;0,2
Steel;Bof;Gas;;2050;0,2
Steel;Dri;Electricity;;2030;1
Steel;Dri;Electricity;;2035;1
Steel;Dri;Electricity;;2040;1
Steel;Dri;Electricity;;2045;1
Steel;Dri;Electricity;;2050;1
Steel;Dri;H2;;2030;0,06
Steel;Dri;H2;;2035;0,06
Steel;Dri;H2;;2040;0,06
Steel;Dri;H2;;2045;0,06
Steel;Dri;H2;;2050;0,06
Fertilizer;Smr;Gas;;2030;9
Fertilizer;Smr;Gas;;2035;9
Fertilizer;Smr;Gas;;2040;9
Fertilizer;Smr;Gas;;2045;9
Fertilizer;Smr;Gas;;2050;9
Fertilizer;Smr;Electricity;;2030;0,88
Fertilizer;Smr;Electricity;;2035;0,88
Fertilizer;Smr;Electricity;;2040;0,88
Fertilizer;Smr;Electricity;;2045;0,88
Fertilizer;Smr;Electricity;;2050;0,88
Fertilizer;Nitrification;NH3;;2030;3,16
Fertilizer;Nitrification;NH3;;2035;3,16
Fertilizer;Nitrification;NH3;;2040;3,16
Fertilizer;Nitrification;NH3;;2045;3,16
Fertilizer;Nitrification;NH3;;2050;3,16
Fertilizer;Hb;Electricity;;2030;2,14
Fertilizer;Hb;Electricity;;2035;2,14
Fertilizer;Hb;Electricity;;2040;2,14
Fertilizer;Hb;Electricity;;2045;2,14
Fertilizer;Hb;Electricity;;2050;2,14
Fertilizer;Hb;H2;;2030;0,18
Fertilizer;Hb;H2;;2035;0,18
Fertilizer;Hb;H2;;2040;0,18
Fertilizer;Hb;H2;;2045;0,18
Fertilizer;Hb;H2;;2050;0,18
Shipping;Conventional ICE;Biodiesel;;2030;1
Shipping;Conventional ICE;Biodiesel;;2035;1
Shipping;Conventional ICE;Biodiesel;;2040;1
Shipping;Conventional ICE;Biodiesel;;2045;0,95
Shipping;Conventional ICE;Biodiesel;;2050;0,9
Shipping;H2  ICE;H2;;2030;1,63
Shipping;H2 ICE;H2;;2035;1,64
Shipping;H2 ICE;H2;;2040;1,64
Shipping;H2 ICE;H2;;2045;1,56
Shipping;H2 ICE;H2;;2050;1,47
Shipping;MeOH ICE;MeOH;;2030;1,01
Shipping;MeOH ICE;MeOH;;2035;0,99
Shipping;MeOH ICE;MeOH;;2040;0,97
Shipping;MeOH ICE;MeOH;;2045;0,92
Shipping;MeOH ICE;MeOH;;2050;0,88
Shipping;NH3 ICE;NH3;;2030;1,68
Shipping;NH3 ICE;NH3;;2035;1,53
Shipping;NH3 ICE;NH3;;2040;1,37
Shipping;NH3 ICE;NH3;;2045;1,3
Shipping;NH3 ICE;NH3;;2050;1,24
Shipping;Conventional ICE;MGO;;2030;1
Shipping;Conventional ICE;MGO;;2035;1
Shipping;Conventional ICE;MGO;;2040;1
Shipping;Conventional ICE;MGO;;2045;0,95
Shipping;Conventional ICE;MGO;;2050;0,9
Shipping;LNG ICE;LNG;;2030;2,22
Shipping;LNG ICE;LNG;;2035;2,19
Shipping;LNG ICE;LNG;;2040;2,17
Shipping;LNG ICE;LNG;;2045;2,06
Shipping;LNG ICE;LNG;;2050;1,95
Hvc;MeOHSyn1;CO;;2030;0,036363636
Hvc;MeOHSyn1;CO;;2035;0,036363636
Hvc;MeOHSyn1;CO;;2040;0,036363636
Hvc;MeOHSyn1;CO;;2045;0,036363636
Hvc;MeOHSyn1;CO;;2050;0,036363636
Hvc;MeOHSyn2;CO2;;2030;0,032727273
Hvc;MeOHSyn2;CO2;;2035;0,032727273
Hvc;MeOHSyn2;CO2;;2040;0,032727273
Hvc;MeOHSyn2;CO2;;2045;0,032727273
Hvc;MeOHSyn2;CO2;;2050;0,032727273
Hvc;Mto;MeOH;;2030;2,28
Hvc;Mto;MeOH;;2035;2,28
Hvc;Mto;MeOH;;2040;2,28
Hvc;Mto;MeOH;;2045;2,28
Hvc;Mto;MeOH;;2050;2,28
Hvc;Mta;MeOH;;2030;2,02
Hvc;Mta;MeOH;;2035;2,02
Hvc;Mta;MeOH;;2040;2,02
Hvc;Mta;MeOH;;2045;2,02
Hvc;Mta;MeOH;;2050;2,02
Hvc;Nto;Naphtha;;2030;3,39
Hvc;Nto;Naphtha;;2035;3,39
Hvc;Nto;Naphtha;;2040;3,39
Hvc;Nto;Naphtha;;2045;3,39
Hvc;Nto;Naphtha;;2050;3,39
Hvc;Nta;Naphtha;;2030;3,39
Hvc;Nta;Naphtha;;2035;3,39
Hvc;Nta;Naphtha;;2040;3,39
Hvc;Nta;Naphtha;;2045;3,39
Hvc;Nta;Naphtha;;2050;3,39
Hvc;MeOHSyn;CO2;;2030;1,373
Hvc;MeOHSyn;CO2;;2035;1,373
Hvc;MeOHSyn;CO2;;2040;1,373
Hvc;MeOHSyn;CO2;;2045;1,373
Hvc;MeOHSyn;CO2;;2050;1,373
Hvc;MeOHSyn;H2;;2030;0,189
Hvc;MeOHSyn;H2;;2035;0,189
Hvc;MeOHSyn;H2;;2040;0,189
Hvc;MeOHSyn;H2;;2045;0,189
Hvc;MeOHSyn;H2;;2050;0,189
Hvc;Dac;Electricity;;2030;0,35
Hvc;Dac;Electricity;;2035;0,35
Hvc;Dac;Electricity;;2040;0,35
Hvc;Dac;Electricity;;2045;0,35
Hvc;Dac;Electricity;;2050;0,35
Hvc;Btm;Biomass;;2030;3,97
Hvc;Btm;Biomass;;2035;3,845
Hvc;Btm;Biomass;;2040;3,72
Hvc;Btm;Biomass;;2045;3,61
Hvc;Btm;Biomass;;2050;3,5
Hvc;Btm;Electricity;;2030;0,02
Hvc;Btm;Electricity;;2035;0,02
Hvc;Btm;Electricity;;2040;0,02
Hvc;Btm;Electricity;;2045;0,02
Hvc;Btm;Electricity;;2050;0,02
MeOH Producer;Btm;Biomass;;2030;4,39
MeOH Producer;Btm;Biomass;;2035;3,97
MeOH Producer;Btm;Biomass;;2040;3,72
MeOH Producer;Btm;Biomass;;2045;3,61
MeOH Producer;Btm;Biomass;;2050;3,5
Hvc;MeOHSyn1;H2;;2030;0,076
Hvc;MeOHSyn1;H2;;2035;0,076
Hvc;MeOHSyn1;H2;;2040;0,076
Hvc;MeOHSyn1;H2;;2045;0,076
Hvc;MeOHSyn1;H2;;2050;0,076
Hvc;MeOHSyn2;H2;;2030;0,114
Hvc;MeOHSyn2;H2;;2035;0,114
Hvc;MeOHSyn2;H2;;2040;0,114
Hvc;MeOHSyn2;H2;;2045;0,114
Hvc;MeOHSyn2;H2;;2050;0,114
H2 Producer;El;Electricity;;2030;0,5773
H2 Producer;El;Electricity;;2035;0,6217
H2 Producer;El;Electricity;;2040;0,6217
H2 Producer;El;Electricity;;2045;0,6532
H2 Producer;El;Electricity;;2050;0,6994
MeOH Producer;Btm;Biomass;;2030;4,39
MeOH Producer;Btm;Biomass;;2035;3,97
MeOH Producer;Btm;Biomass;;2040;3,72
MeOH Producer;Btm;Biomass;;2045;3,61
MeOH Producer;Btm;Biomass;;2050;3,5
MeOH Producer;Btm;Electricity;;2030;0,02
MeOH Producer;Btm;Electricity;;2035;0,02
MeOH Producer;Btm;Electricity;;2040;0,02
MeOH Producer;Btm;Electricity;;2045;0,02
MeOH Producer;Btm;Electricity;;2050;0,02
MeOH Producer;El;Electricity;;2030;0,5773
MeOH Producer;El;Electricity;;2035;0,6217
MeOH Producer;El;Electricity;;2040;0,6217
MeOH Producer;El;Electricity;;2045;0,6532
MeOH Producer;El;Electricity;;2050;0,6994
MeOH Producer;Dac;Electricity;;2030;0,35
MeOH Producer;Dac;Electricity;;2035;0,35
MeOH Producer;Dac;Electricity;;2040;0,35
MeOH Producer;Dac;Electricity;;2045;0,35
MeOH Producer;Dac;Electricity;;2050;0,35
MeOH Producer;MeOHSyn;Electricity;;2030;0,16
MeOH Producer;MeOHSyn;Electricity;;2035;0,16
MeOH Producer;MeOHSyn;Electricity;;2040;0,16
MeOH Producer;MeOHSyn;Electricity;;2045;0,16
MeOH Producer;MeOHSyn;Electricity;;2050;0,16
MeOH Producer;MeOHSyn;CO2;;2030;1,373
MeOH Producer;MeOHSyn;CO2;;2035;1,373
MeOH Producer;MeOHSyn;CO2;;2040;1,373
MeOH Producer;MeOHSyn;CO2;;2045;1,373
MeOH Producer;MeOHSyn;CO2;;2050;1,373
MeOH Producer;MeOHSyn;H2;;2030;0,189
MeOH Producer;MeOHSyn;H2;;2035;0,189
MeOH Producer;MeOHSyn;H2;;2040;0,189
MeOH Producer;MeOHSyn;H2;;2045;0,189
MeOH Producer;MeOHSyn;H2;;2050;0,189
NH3 Producer;Asu;Electricity;;2030;0,25
NH3 Producer;Asu;Electricity;;2035;0,25
NH3 Producer;Asu;Electricity;;2040;0,25
NH3 Producer;Asu;Electricity;;2045;0,25
NH3 Producer;Asu;Electricity;;2050;0,25
NH3 Producer;El;Electricity;;2030;0,5773
NH3 Producer;El;Electricity;;2035;0,5995
NH3 Producer;El;Electricity;;2040;0,6217
NH3 Producer;El;Electricity;;2045;0,6532
NH3 Producer;El;Electricity;;2050;0,6994
NH3 Producer;Hb;Electricity;;2030;0,2473
NH3 Producer;Hb;Electricity;;2035;0,2473
NH3 Producer;Hb;Electricity;;2040;0,2473
NH3 Producer;Hb;Electricity;;2045;0,2473
NH3 Producer;Hb;Electricity;;2050;0,2473
NH3 Producer;Hb;H2;;2030;1,1484
NH3 Producer;Hb;H2;;2035;1,1484
NH3 Producer;Hb;H2;;2040;1,1484
NH3 Producer;Hb;H2;;2045;1,1484
NH3 Producer;Hb;H2;;2050;1,1484
NH3 Producer;Hb;N;;2030;0,1597
NH3 Producer;Hb;N;;2035;0,1597
NH3 Producer;Hb;N;;2040;0,1597
NH3 Producer;Hb;N;;2045;0,1597
NH3 Producer;Hb;N;;2050;0,1597
MeOH Producer;Btm;Biomass;;2030;3,97
MeOH Producer;Btm;Biomass;;2035;3,845
MeOH Producer;Btm;Biomass;;2040;3,72
