Process,Input,Output,Year,Value
Bof,Coal,Steel,2030,0.5
Bof,Coal,Steel,2035,0.5
Bof,Coal,Steel,2040,0.5
Bof,Coal,Steel,2045,0.5
Bof,Coal,Steel,2050,0.5
Bof,Gas,Steel,2030,0.2
Bof,Gas,Steel,2035,0.2
Bof,Gas,Steel,2040,0.2
Bof,Gas,Steel,2045,0.2
Bof,Gas,Steel,2050,0.2
Dri,Electricity,Steel,2030,1
Dri,Electricity,Steel,2035,1
Dri,Electricity,Steel,2040,1
Dri,Electricity,Steel,2045,1
Dri,Electricity,Steel,2050,1
Dri,LCH2,Steel,2030,0.05
Dri,LCH2,Steel,2035,0.05
Dri,LCH2,Steel,2040,0.05
Dri,LCH2,Steel,2045,0.05
Dri,LCH2,Steel,2050,0.05
Dri,H2,Steel,2030,0.05
Dri,H2,Steel,2035,0.05
Dri,H2,Steel,2040,0.05
Dri,H2,Steel,2045,0.05
Dri,H2,Steel,2050,0.05
Fertilizer Synthesis,LCNH3,Fertilizer,2030,0.32
Fertilizer Synthesis,LCNH3,Fertilizer,2035,0.32
Fertilizer Synthesis,LCNH3,Fertilizer,2040,0.32
Fertilizer Synthesis,LCNH3,Fertilizer,2045,0.32
Fertilizer Synthesis,LCNH3,Fertilizer,2050,0.32
Fertilizer Synthesis,HCNH3,Fertilizer,2030,0.32
Fertilizer Synthesis,HCNH3,Fertilizer,2035,0.32
Fertilizer Synthesis,HCNH3,Fertilizer,2040,0.32
Fertilizer Synthesis,HCNH3,Fertilizer,2045,0.32
Fertilizer Synthesis,HCNH3,Fertilizer,2050,0.32
Fertilizer Synthesis,NH3,Fertilizer,2030,0.32
Fertilizer Synthesis,NH3,Fertilizer,2035,0.32
Fertilizer Synthesis,NH3,Fertilizer,2040,0.32
Fertilizer Synthesis,NH3,Fertilizer,2045,0.32
Fertilizer Synthesis,NH3,Fertilizer,2050,0.32
Hb,H2,NH3,2030,0.18
Hb,H2,NH3,2035,0.18
Hb,H2,NH3,2040,0.18
Hb,H2,NH3,2045,0.18
Hb,H2,NH3,2050,0.18
Hb,LCH2,LCNH3,2030,0.18
Hb,LCH2,LCNH3,2035,0.18
Hb,LCH2,LCNH3,2040,0.18
Hb,LCH2,LCNH3,2045,0.18
Hb,LCH2,LCNH3,2050,0.18
Hb,HCH2,HCNH3,2030,0.18
Hb,HCH2,HCNH3,2035,0.18
Hb,HCH2,HCNH3,2040,0.18
Hb,HCH2,HCNH3,2045,0.18
Hb,HCH2,HCNH3,2050,0.18
Hb,Electricity,NH3,2030,1.31
Hb,Electricity,NH3,2035,1.31
Hb,Electricity,NH3,2040,1.31
Hb,Electricity,NH3,2045,1.31
Hb,Electricity,NH3,2050,1.31
Hb,Electricity,LCNH3,2030,1.31
Hb,Electricity,LCNH3,2035,1.31
Hb,Electricity,LCNH3,2040,1.31
