,Duisburg,Ludwigshafen,Leverkusen,Hamburg,Frankfurt,Rotterdam,Chanaral,Antofagasta,Teruel,Guelmim,Agadir,Fiska
Duisburg,0.0,286.34999999999997,55.199999999999996,370.29999999999995,1385.75,192.04999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Ludwigshafen,286.34999999999997,0.0,232.29999999999998,540.5,1223.6,449.65,0.0,0.0,0.0,0.0,0.0,0.0
Leverkusen,55.199999999999996,232.29999999999998,0.0,400.2,1345.5,231.14999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Hamburg,370.29999999999995,540.5,400.2,0.0,1739.9499999999998,473.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0
Frankfurt,1385.75,1223.6,1345.5,1739.9499999999998,0.0,1394.9499999999998,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,192.04999999999998,449.65,231.14999999999998,473.79999999999995,1394.9499999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chanaral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0
Antofagasta,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0
Teruel,1542.1499999999999,1413.35,1507.6499999999999,1906.6999999999998,255.29999999999998,1523.7499999999998,0.0,0.0,0.0,0.0,0.0,0.0
Guelmim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4499999999999997,0.0
Agadir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4499999999999997,0.0,0.0
Fiska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
