Process,Input,Year,Value
Bof,Coal,2030,0
Bof,Coal,2035,0
Bof,Coal,2040,0
Bof,Coal,2045,0
Bof,Coal,2050,0
Bof,Gas,2030,0
Bof,Gas,2035,0
Bof,Gas,2040,0
Bof,Gas,2045,0
Bof,Gas,2050,0
Dri,Electricity,2030,0.5
Dri,Electricity,2035,0.55
Dri,Electricity,2040,0.6
Dri,Electricity,2045,0.7
Dri,Electricity,2050,0.85
Dri,HCH2,2030,0
Dri,HCH2,2035,0
Dri,HCH2,2040,0
Dri,HCH2,2045,0
Dri,HCH2,2050,0
Dri,LCH2,2030,0.5
Dri,LCH2,2035,0.55
Dri,LCH2,2040,0.6
Dri,LCH2,2045,0.65
Dri,LCH2,2050,0.7
Dri,H2,2030,2
Dri,H2,2035,2
Dri,H2,2040,2
Dri,H2,2045,2
Dri,H2,2050,2
Fertilizer Synthesis,LCNH3,2030,0.5
Fertilizer Synthesis,LCNH3,2035,0.55
Fertilizer Synthesis,LCNH3,2040,0.6
Fertilizer Synthesis,LCNH3,2045,0.65
Fertilizer Synthesis,LCNH3,2050,0.8
Fertilizer Synthesis,HCNH3,2030,0
Fertilizer Synthesis,HCNH3,2035,0
Fertilizer Synthesis,HCNH3,2040,0
Fertilizer Synthesis,HCNH3,2045,0
Fertilizer Synthesis,HCNH3,2050,0
Fertilizer Synthesis,NH3,2030,2
Fertilizer Synthesis,NH3,2035,2
Fertilizer Synthesis,NH3,2040,2
Fertilizer Synthesis,NH3,2045,2
Fertilizer Synthesis,NH3,2050,2
Hb,H2,2030,2
Hb,H2,2035,2
Hb,H2,2040,2
Hb,H2,2045,2
Hb,H2,2050,2
Hb,LCH2,2030,0.5
Hb,LCH2,2035,0.55
Hb,LCH2,2040,0.6
Hb,LCH2,2045,0.65
Hb,LCH2,2050,0.8
Hb,HCH2,2030,0
Hb,HCH2,2035,0
Hb,HCH2,2040,0
Hb,HCH2,2045,0
Hb,HCH2,2050,0
Hb,Electricity,2030,0.5
Hb,Electricity,2035,0.55
Hb,Electricity,2040,0.6
Hb,Electricity,2045,0.7
Hb,Electricity,2050,0.8
Hb,N,2030,2
Hb,N,2035,2
Hb,N,2040,2
Hb,N,2045,2
Hb,N,2050,2
Asu,Electricity,2030,0.5
Asu,Electricity,2035,0.55
Asu,Electricity,2040,0.6
Asu,Electricity,2045,0.7
