Item/ Process,Fuel,Location,Year,Value,,
Fuel,Electricity,GER,2030,64,,
Fuel,Electricity,GER,2035,64,,
Fuel,Electricity,GER,2040,64,,
Fuel,Electricity,GER,2045,64,,
Fuel,Electricity,GER,2050,64,,
Fuel,Gas,GER,2030,60,,
Fuel,Gas,GER,2035,60,,
Fuel,Gas,GER,2040,60,,
Fuel,Gas,GER,2045,60,,
Fuel,Gas,GER,2050,60,,
Fuel,Coal,GER,2030,200,,
Fuel,Coal,GER,2035,200,,
Fuel,Coal,GER,2040,200,,
Fuel,Coal,GER,2045,200,,
Fuel,Coal,GER,2050,200,,
Fuel,Biodiesel,GER,2030,24.44229483,,
Fuel,Biodiesel,GER,2035,23.88458966,,
Fuel,Biodiesel,GER,2040,23.14098277,,
Fuel,Biodiesel,GER,2045,22.21147416,,
Fuel,Biodiesel,GER,2050,23.88458966,,
Fuel,BtL,GER,2030,31.33333333,,
Fuel,BtL,GER,2035,32,,
Fuel,BtL,GER,2040,32.66666667,,
Fuel,BtL,GER,2045,33.33333333,,
Fuel,BtL,GER,2050,34,,
Fuel,HVO,GER,2030,30.28888889,,
Fuel,HVO,GER,2035,30.93333333,,
Fuel,HVO,GER,2040,31.57777778,,
Fuel,HVO,GER,2045,32.22222222,,
Fuel,HVO,GER,2050,32.86666667,,
Fuel,LNG,GER,2030,7.25,,
Fuel,LNG,GER,2035,8.125,,
Fuel,LNG,GER,2040,9,,
Fuel,LNG,GER,2045,9.875,,
Fuel,LNG,GER,2050,10.75,,
Fuel,MGO,GER,2030,10.25,,
Fuel,MGO,GER,2035,11.375,,
Fuel,MGO,GER,2040,12.5,,
Fuel,MGO,GER,2045,13.625,,
Fuel,MGO,GER,2050,14.75,,
Fuel,BtL,GER,2030,10.25,,
Fuel,BtL,GER,2035,11.375,,
Fuel,BtL,GER,2040,12.5,,
Fuel,BtL,GER,2045,13.625,,
Fuel,BtL,GER,2050,34,,
Fuel,Naphtha,GER,2030,573,,
Fuel,Naphtha,GER,2035,573,,
Fuel,Naphtha,GER,2040,573,,
Fuel,Naphtha,GER,2045,573,,
Fuel,Naphtha,GER,2050,573,,
Fuel,Biomass,GER,2030,40,,
Fuel,Biomass,GER,2035,61.25,,
Fuel,Biomass,GER,2040,82.5,,
Fuel,Biomass,GER,2045,103.75,,
Fuel,Biomass,GER,2050,125,,
Fuel,JetA,GER,2030,1000,,
Fuel,JetA,GER,2035,1200,,
Fuel,JetA,GER,2040,1300,,
Fuel,JetA,GER,2045,1350,,
Fuel,JetA,GER,2050,1400,,
Fuel,HEFA,GER,2030,3200.00,,
Fuel,HEFA,GER,2035,3056.00,,
Fuel,HEFA,GER,2040,2912.00,,
Fuel,HEFA,GER,2045,2768.00,,
Fuel,HEFA,GER,2050,2624.00,,
Fuel,CO2,GER,2030,350,,
Fuel,CO2,GER,2035,300,,
Fuel,CO2,GER,2040,275,,
Fuel,CO2,GER,2045,250,,
Fuel,CO2,GER,2050,200,,
