Industry,Process,Location,Year,Value
Hvc,Nto/Nta,Leverkusen,2030,1674.0
Hvc,Nto/Nta,Leverkusen,2035,1877.0
Hvc,Nto/Nta,Leverkusen,2040,284.0
Hvc,Nto/Nta,Leverkusen,2045,0.0
Hvc,Nto/Nta,Leverkusen,2050,0.0
Hvc,Mto/Mta,Leverkusen,2030,167.0
Hvc,Mto/Mta,Leverkusen,2035,167.0
Hvc,Mto/Mta,Leverkusen,2040,167.0
Hvc,Mto/Mta,Leverkusen,2045,167.0
Hvc,Mto/Mta,Leverkusen,2050,167.0
Hvc,MeOHSyn,Leverkusen,2030,66.56168020219687
Hvc,MeOHSyn,Leverkusen,2035,66.56168020219687
Hvc,MeOHSyn,Leverkusen,2040,66.56168020219687
Hvc,MeOHSyn,Leverkusen,2045,66.56168020219687
Hvc,MeOHSyn,Leverkusen,2050,66.56168020219687
Hvc,Dac,Leverkusen,2030,0.0
Hvc,Dac,Leverkusen,2035,0.0
Hvc,Dac,Leverkusen,2040,0.0
Hvc,Dac,Leverkusen,2045,0.0
Hvc,Dac,Leverkusen,2050,0.0
Hvc,Btm,Leverkusen,2030,0.0
Hvc,Btm,Leverkusen,2035,0.0
Hvc,Btm,Leverkusen,2040,0.0
Hvc,Btm,Leverkusen,2045,0.0
Hvc,Btm,Leverkusen,2050,0.0
Hvc,Esc,Leverkusen,2030,0.0
Hvc,Esc,Leverkusen,2035,0.0
Hvc,Esc,Leverkusen,2040,0.0
Hvc,Esc,Leverkusen,2045,0.0
Hvc,Esc,Leverkusen,2050,0.0
Fertilizer,Fertilizer Synthesis,Ludwigshafen,2030,130.0
Fertilizer,Fertilizer Synthesis,Ludwigshafen,2035,130.0
Fertilizer,Fertilizer Synthesis,Ludwigshafen,2040,130.0
Fertilizer,Fertilizer Synthesis,Ludwigshafen,2045,130.0
Fertilizer,Fertilizer Synthesis,Ludwigshafen,2050,130.0
Fertilizer,Hb,Ludwigshafen,2030,41.599999999999994
Fertilizer,Hb,Ludwigshafen,2035,41.599999999999994
Fertilizer,Hb,Ludwigshafen,2040,41.599999999999994
Fertilizer,Hb,Ludwigshafen,2045,41.599999999999994
Fertilizer,Hb,Ludwigshafen,2050,41.599999999999994
Fertilizer,Asu,Ludwigshafen,2030,6.564479999999999
Fertilizer,Asu,Ludwigshafen,2035,6.564479999999999
Fertilizer,Asu,Ludwigshafen,2040,6.564479999999999
Fertilizer,Asu,Ludwigshafen,2045,6.564479999999999
Fertilizer,Asu,Ludwigshafen,2050,6.564479999999999
Fertilizer,Smr,Ludwigshafen,2030,1300.0
Fertilizer,Smr,Ludwigshafen,2035,1300.0
Fertilizer,Smr,Ludwigshafen,2040,0.0
Fertilizer,Smr,Ludwigshafen,2045,0.0
Fertilizer,Smr,Ludwigshafen,2050,0.0
Shipping,Conventional ICE,Hamburg,2030,1713.0
Shipping,Conventional ICE,Hamburg,2035,886.0
Shipping,Conventional ICE,Hamburg,2040,214.0
Shipping,Conventional ICE,Hamburg,2045,0.0
Shipping,Conventional ICE,Hamburg,2050,0.0
Shipping,H2 ICE,Hamburg,2030,0.0
Shipping,H2 ICE,Hamburg,2035,0.0
Shipping,H2 ICE,Hamburg,2040,0.0
Shipping,H2 ICE,Hamburg,2045,0.0
Shipping,H2 ICE,Hamburg,2050,0.0
Shipping,MeOH ICE,Hamburg,2030,12.655732619542576
Shipping,MeOH ICE,Hamburg,2035,12.655732619542576
Shipping,MeOH ICE,Hamburg,2040,12.655732619542576
Shipping,MeOH ICE,Hamburg,2045,12.655732619542576
Shipping,MeOH ICE,Hamburg,2050,12.655732619542576
Shipping,NH3 ICE,Hamburg,2030,45.18015701977001
Shipping,NH3 ICE,Hamburg,2035,45.18015701977001
Shipping,NH3 ICE,Hamburg,2040,45.18015701977001
Shipping,NH3 ICE,Hamburg,2045,45.18015701977001
Shipping,NH3 ICE,Hamburg,2050,45.18015701977001
Shipping,LNG ICE,Hamburg,2030,124.849476936715
Shipping,LNG ICE,Hamburg,2035,124.849476936715
Shipping,LNG ICE,Hamburg,2040,124.849476936715
Shipping,LNG ICE,Hamburg,2045,124.849476936715
Shipping,LNG ICE,Hamburg,2050,124.849476936715
Steel,Bof,Duisburg,2030,2500.0
Steel,Bof,Duisburg,2035,621.0
Steel,Bof,Duisburg,2040,0.0
Steel,Bof,Duisburg,2045,0.0
Steel,Bof,Duisburg,2050,0.0
Steel,Dri,Duisburg,2030,250.0
Steel,Dri,Duisburg,2035,250.0
Steel,Dri,Duisburg,2040,250.0
Steel,Dri,Duisburg,2045,250.0
Steel,Dri,Duisburg,2050,250.0
Producer,Hb,Chanaral,2030,0.0
Producer,Hb,Chanaral,2035,0.0
Producer,Hb,Chanaral,2040,0.0
Producer,Hb,Chanaral,2045,0.0
Producer,Hb,Chanaral,2050,0.0
Producer,Hb,Teruel,2030,16.64
Producer,Hb,Teruel,2035,33.28
Producer,Hb,Teruel,2040,56.055501491833674
Producer,Hb,Teruel,2045,56.055501491833674
Producer,Hb,Teruel,2050,56.055501491833674
Producer,Asu,Chanaral,2030,0.0
Producer,Asu,Chanaral,2035,0.0
Producer,Asu,Chanaral,2040,0.0
Producer,Asu,Chanaral,2045,0.0
Producer,Asu,Chanaral,2050,0.0
Producer,Asu,Teruel,2030,0.0
Producer,Asu,Teruel,2035,0.0
Producer,Asu,Teruel,2040,0.0
Producer,Asu,Teruel,2045,0.0
Producer,Asu,Teruel,2050,0.0
Producer,MeOHSyn,Chanaral,2030,10.88049180592261
Producer,MeOHSyn,Chanaral,2035,14.996756030108825
Producer,MeOHSyn,Chanaral,2040,14.996756030108825
Producer,MeOHSyn,Chanaral,2045,14.996756030108825
Producer,MeOHSyn,Chanaral,2050,14.996756030108825
Producer,MeOHSyn,Teruel,2030,0.0
Producer,MeOHSyn,Teruel,2035,0.0
Producer,MeOHSyn,Teruel,2040,0.0
Producer,MeOHSyn,Teruel,2045,0.0
Producer,MeOHSyn,Teruel,2050,0.0
Producer,Dac,Chanaral,2030,14.179453016056895
Producer,Dac,Chanaral,2035,20.995458442152355
Producer,Dac,Chanaral,2040,20.995458442152355
Producer,Dac,Chanaral,2045,20.995458442152355
Producer,Dac,Chanaral,2050,20.995458442152355
Producer,Dac,Teruel,2030,0.0
Producer,Dac,Teruel,2035,0.0
Producer,Dac,Teruel,2040,0.0
Producer,Dac,Teruel,2045,0.0
Producer,Dac,Teruel,2050,0.0
Producer,Btm,Chanaral,2030,0.0
Producer,Btm,Chanaral,2035,0.0
Producer,Btm,Chanaral,2040,0.0
Producer,Btm,Chanaral,2045,0.0
Producer,Btm,Chanaral,2050,0.0
Producer,Btm,Teruel,2030,0.0
Producer,Btm,Teruel,2035,0.0
Producer,Btm,Teruel,2040,0.0
Producer,Btm,Teruel,2045,0.0
Producer,Btm,Teruel,2050,0.0
Producer,Onwind,Chanaral,2030,0.0
Producer,Onwind,Chanaral,2035,0.0
Producer,Onwind,Chanaral,2040,0.0
Producer,Onwind,Chanaral,2045,0.0
Producer,Onwind,Chanaral,2050,0.0
Producer,Onwind,Teruel,2030,0.0
Producer,Onwind,Teruel,2035,0.0
Producer,Onwind,Teruel,2040,0.0
Producer,Onwind,Teruel,2045,0.0
Producer,Onwind,Teruel,2050,0.0
Producer,El,Chanaral,2030,5.569303435799167
Producer,El,Chanaral,2035,6.194312273305818
Producer,El,Chanaral,2040,6.194312273305818
Producer,El,Chanaral,2045,6.194312273305818
Producer,El,Chanaral,2050,6.194312273305818
Producer,El,Teruel,2030,5.569303435799166
Producer,El,Teruel,2035,11.13860687159833
Producer,El,Teruel,2040,22.27721374319666
Producer,El,Teruel,2045,42.52094607982582
Producer,El,Teruel,2050,42.52094607982582
Producer,Pv,Chanaral,2030,57.976826517063984
Producer,Pv,Chanaral,2035,58.51675392140502
Producer,Pv,Chanaral,2040,58.51675392140502
Producer,Pv,Chanaral,2045,58.51675392140502
Producer,Pv,Chanaral,2050,58.51675392140502
Producer,Pv,Teruel,2030,57.97682651706398
Producer,Pv,Teruel,2035,115.95365303412794
Producer,Pv,Teruel,2040,115.95365303412794
Producer,Pv,Teruel,2045,115.95365303412794
Producer,Pv,Teruel,2050,115.95365303412794
LC Producer,Hb,Fiska,2030,0.0
LC Producer,Hb,Fiska,2035,0.0
LC Producer,Hb,Fiska,2040,0.0
LC Producer,Hb,Fiska,2045,0.0
LC Producer,Hb,Fiska,2050,0.0
LC Producer,Asu,Fiska,2030,0.0
LC Producer,Asu,Fiska,2035,0.0
LC Producer,Asu,Fiska,2040,0.0
LC Producer,Asu,Fiska,2045,0.0
LC Producer,Asu,Fiska,2050,0.0
LC Producer,SmrCCTS,Fiska,2030,0.0
LC Producer,SmrCCTS,Fiska,2035,0.0
LC Producer,SmrCCTS,Fiska,2040,0.0
LC Producer,SmrCCTS,Fiska,2045,0.0
LC Producer,SmrCCTS,Fiska,2050,0.0
LC Producer,MeOHSyn,Fiska,2030,0.0
LC Producer,MeOHSyn,Fiska,2035,0.0
LC Producer,MeOHSyn,Fiska,2040,0.0
LC Producer,MeOHSyn,Fiska,2045,0.0
LC Producer,MeOHSyn,Fiska,2050,0.0
LC Producer,Dac,Fiska,2030,0.0
LC Producer,Dac,Fiska,2035,0.0
LC Producer,Dac,Fiska,2040,0.0
LC Producer,Dac,Fiska,2045,0.0
LC Producer,Dac,Fiska,2050,0.0
LC Producer,Btm,Fiska,2030,0.0
LC Producer,Btm,Fiska,2035,0.0
LC Producer,Btm,Fiska,2040,0.0
LC Producer,Btm,Fiska,2045,0.0
LC Producer,Btm,Fiska,2050,0.0
LC Producer,Onwind,Fiska,2030,0.0
LC Producer,Onwind,Fiska,2035,0.0
LC Producer,Onwind,Fiska,2040,0.0
LC Producer,Onwind,Fiska,2045,0.0
LC Producer,Onwind,Fiska,2050,0.0
LC Producer,Pv,Fiska,2030,0.0
LC Producer,Pv,Fiska,2035,0.0
LC Producer,Pv,Fiska,2040,0.0
LC Producer,Pv,Fiska,2045,0.0
LC Producer,Pv,Fiska,2050,0.0
Port,AmCr,Hamburg,2030,0.0
Port,AmCr,Hamburg,2035,0.0
Port,AmCr,Hamburg,2040,0.0
Port,AmCr,Hamburg,2045,0.0
Port,AmCr,Hamburg,2050,0.0
Port,AmCr,Antofagasta,2030,0.0
Port,AmCr,Antofagasta,2035,0.0
Port,AmCr,Antofagasta,2040,0.0
Port,AmCr,Antofagasta,2045,0.0
Port,AmCr,Antofagasta,2050,0.0
Port,H2Liq,Hamburg,2030,0.0
Port,H2Liq,Hamburg,2035,0.0
Port,H2Liq,Hamburg,2040,0.0
Port,H2Liq,Hamburg,2045,0.0
Port,H2Liq,Hamburg,2050,0.0
Port,H2Liq,Antofagasta,2030,0.0
