Industry,Supplier,Fuel,Destination,Origin,Mode,Year,Value
Hvc,Producer,H2,Leverkusen,Teruel,pipeline,2030,0.0
Hvc,Producer,H2,Leverkusen,Teruel,pipeline,2035,5.1482068715983305
Hvc,Producer,H2,Leverkusen,Teruel,pipeline,2040,6.790644016011588
Hvc,Producer,H2,Leverkusen,Teruel,pipeline,2045,12.442955811295741
Hvc,Producer,H2,Leverkusen,Teruel,pipeline,2050,12.442955811295741
Hvc,Producer,NH3,Leverkusen,Teruel,pipeline,2030,0.0
Hvc,Producer,NH3,Leverkusen,Teruel,pipeline,2035,0.0
Hvc,Producer,NH3,Leverkusen,Teruel,pipeline,2040,0.0
Hvc,Producer,NH3,Leverkusen,Teruel,pipeline,2045,0.0
Hvc,Producer,NH3,Leverkusen,Teruel,pipeline,2050,0.0
Hvc,Producer,MeOH,Leverkusen,Teruel,pipeline,2030,0.0
Hvc,Producer,MeOH,Leverkusen,Teruel,pipeline,2035,0.0
Hvc,Producer,MeOH,Leverkusen,Teruel,pipeline,2040,0.0
Hvc,Producer,MeOH,Leverkusen,Teruel,pipeline,2045,0.0
Hvc,Producer,MeOH,Leverkusen,Teruel,pipeline,2050,0.0
Hvc,Port,H2,Leverkusen,Hamburg,pipeline,2030,4.810885844733589
Hvc,Port,H2,Leverkusen,Hamburg,pipeline,2035,6.79858892238581
Hvc,Port,H2,Leverkusen,Hamburg,pipeline,2040,5.85607522240582
Hvc,Port,H2,Leverkusen,Hamburg,pipeline,2045,0.09056152316518329
Hvc,Port,H2,Leverkusen,Hamburg,pipeline,2050,0.0
Hvc,Port,NH3,Leverkusen,Hamburg,pipeline,2030,0.0
Hvc,Port,NH3,Leverkusen,Hamburg,pipeline,2035,0.0
Hvc,Port,NH3,Leverkusen,Hamburg,pipeline,2040,0.0
Hvc,Port,NH3,Leverkusen,Hamburg,pipeline,2045,0.0
Hvc,Port,NH3,Leverkusen,Hamburg,pipeline,2050,0.0
Hvc,Port,MeOH,Leverkusen,Hamburg,pipeline,2030,1.3107588879171497
Hvc,Port,MeOH,Leverkusen,Hamburg,pipeline,2035,0.0
Hvc,Port,MeOH,Leverkusen,Hamburg,pipeline,2040,0.2383197978031291
Hvc,Port,MeOH,Leverkusen,Hamburg,pipeline,2045,0.8341192923109106
Hvc,Port,MeOH,Leverkusen,Hamburg,pipeline,2050,1.3107588879171497
Hvc,Port,LCNH3,Leverkusen,Hamburg,pipeline,2030,0.0
Hvc,Port,LCNH3,Leverkusen,Hamburg,pipeline,2035,0.0
Hvc,Port,LCNH3,Leverkusen,Hamburg,pipeline,2040,0.0
Hvc,Port,LCNH3,Leverkusen,Hamburg,pipeline,2045,0.0
Hvc,Port,LCNH3,Leverkusen,Hamburg,pipeline,2050,0.0
Hvc,Port,LCMeOH,Leverkusen,Hamburg,pipeline,2030,0.0
Hvc,Port,LCMeOH,Leverkusen,Hamburg,pipeline,2035,0.0
Hvc,Port,LCMeOH,Leverkusen,Hamburg,pipeline,2040,0.0
Hvc,Port,LCMeOH,Leverkusen,Hamburg,pipeline,2045,0.0
Hvc,Port,LCMeOH,Leverkusen,Hamburg,pipeline,2050,0.0
Hvc,Port,LCH2,Leverkusen,Hamburg,pipeline,2030,0.0
Hvc,Port,LCH2,Leverkusen,Hamburg,pipeline,2035,0.0
Hvc,Port,LCH2,Leverkusen,Hamburg,pipeline,2040,0.0
Hvc,Port,LCH2,Leverkusen,Hamburg,pipeline,2045,0.0
Hvc,Port,LCH2,Leverkusen,Hamburg,pipeline,2050,0.0
Fertilizer,Producer,H2,Ludwigshafen,Teruel,pipeline,2030,2.5741034357991652
Fertilizer,Producer,H2,Ludwigshafen,Teruel,pipeline,2035,0.0
