Industry,Process,Output,Location,Year,Value
Hvc,Nto/Nta,Aromatics/Olefins,Leverkusen,2030,100.42197324423884
Hvc,Nto/Nta,Aromatics/Olefins,Leverkusen,2035,9.80531850020867
Hvc,Nto/Nta,Aromatics/Olefins,Leverkusen,2040,0.0
Hvc,Nto/Nta,Aromatics/Olefins,Leverkusen,2045,0.0
Hvc,Nto/Nta,Aromatics/Olefins,Leverkusen,2050,0.0
Hvc,Mto/Mta,Aromatics/Olefins,Leverkusen,2030,66.57802675576116
Hvc,Mto/Mta,Aromatics/Olefins,Leverkusen,2035,157.19468149979133
Hvc,Mto/Mta,Aromatics/Olefins,Leverkusen,2040,167.0
Hvc,Mto/Mta,Aromatics/Olefins,Leverkusen,2045,167.0
Hvc,Mto/Mta,Aromatics/Olefins,Leverkusen,2050,167.0
Hvc,MeOHSyn,MeOH,Leverkusen,2030,25.32045181438731
Hvc,MeOHSyn,MeOH,Leverkusen,2035,62.877872599916536
Hvc,MeOHSyn,MeOH,Leverkusen,2040,66.56168020219687
Hvc,MeOHSyn,MeOH,Leverkusen,2045,65.96588070768908
Hvc,MeOHSyn,MeOH,Leverkusen,2050,65.48924111208285
Hvc,MeOHSyn,LCMeOH,Leverkusen,2030,0.0
Hvc,MeOHSyn,LCMeOH,Leverkusen,2035,0.0
Hvc,MeOHSyn,LCMeOH,Leverkusen,2040,0.0
Hvc,MeOHSyn,LCMeOH,Leverkusen,2045,0.0
Hvc,MeOHSyn,LCMeOH,Leverkusen,2050,0.0
Hvc,Dac,CO2,Leverkusen,2030,0.0
Hvc,Dac,CO2,Leverkusen,2035,0.0
Hvc,Dac,CO2,Leverkusen,2040,0.0
Hvc,Dac,CO2,Leverkusen,2045,0.0
Hvc,Dac,CO2,Leverkusen,2050,0.0
Hvc,Btm,BMeOH,Leverkusen,2030,0.0
Hvc,Btm,BMeOH,Leverkusen,2035,0.0
Hvc,Btm,BMeOH,Leverkusen,2040,0.0
Hvc,Btm,BMeOH,Leverkusen,2045,0.0
Hvc,Btm,BMeOH,Leverkusen,2050,0.0
Hvc,Esc,Aromatics/Olefins,Leverkusen,2030,0.0
Hvc,Esc,Aromatics/Olefins,Leverkusen,2035,0.0
Hvc,Esc,Aromatics/Olefins,Leverkusen,2040,0.0
Hvc,Esc,Aromatics/Olefins,Leverkusen,2045,0.0
Hvc,Esc,Aromatics/Olefins,Leverkusen,2050,0.0
Fertilizer,Fertilizer Synthesis,Fertilizer,Ludwigshafen,2030,130.0
Fertilizer,Fertilizer Synthesis,Fertilizer,Ludwigshafen,2035,130.0
Fertilizer,Fertilizer Synthesis,Fertilizer,Ludwigshafen,2040,130.0
Fertilizer,Fertilizer Synthesis,Fertilizer,Ludwigshafen,2045,130.0
Fertilizer,Fertilizer Synthesis,Fertilizer,Ludwigshafen,2050,130.0
Fertilizer,Hb,NH3,Ludwigshafen,2030,28.769635924550435
Fertilizer,Hb,NH3,Ludwigshafen,2035,14.46906128122174
Fertilizer,Hb,NH3,Ludwigshafen,2040,41.6
Fertilizer,Hb,NH3,Ludwigshafen,2045,41.599999999999994
Fertilizer,Hb,NH3,Ludwigshafen,2050,41.6
Fertilizer,Hb,LCNH3,Ludwigshafen,2030,0.0
Fertilizer,Hb,LCNH3,Ludwigshafen,2035,0.0
Fertilizer,Hb,LCNH3,Ludwigshafen,2040,0.0
Fertilizer,Hb,LCNH3,Ludwigshafen,2045,0.0
Fertilizer,Hb,LCNH3,Ludwigshafen,2050,0.0
